areaName,Borough,areaType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All Downtown,Manhattan,submarket,941287,885902,920668,970662,1120618,1299366,1415763,1424408,1380659,1471250,1290251,1455180,1485564,1417662,1357500
All Midtown,Manhattan,submarket,698553,696771,722093,743603,748373,905187,895013,943375,889753,915259,847312,840604,882208,896287,801875
All Upper East Side,Manhattan,submarket,930375,909708,922709,930789,998533,1065638,1125418,1125185,1154329,1131671,1053417,1106121,1185917,1205312,897500
All Upper Manhattan,Manhattan,submarket,398961,414133,444067,430136,473873,526724,574232,609027,621705,634397,630160,661438,660270,586849,718125
All Upper West Side,Manhattan,submarket,884481,891849,912952,923113,982422,1127422,1089832,1274683,1169280,1145439,1349540,1140833,1219452,1142327,1102500
Astoria,Queens,neighborhood,426716,440511,460192,478929,548337,586313,627020,691943,727088,842980,806311,877875,855717,848996,1080000
Auburndale,Queens,neighborhood,563386,550222,552167,579292,662250,662667,735295,815232,841037,795811,825750,857625,928250,912540,889000
Bath Beach,Brooklyn,neighborhood,482371,541062,605555,557719,640574,718416,804378,839665,800933,810409,928333,857615,952950,978500,1120500
Battery Park City,Manhattan,neighborhood,1270798,848066,834454,751342,966276,1384242,1399109,1188181,1065196,1274146,773750,1184700,1208517,1217672,1388048
Bay Ridge,Brooklyn,neighborhood,438767,407221,453948,388579,440513,431910,510542,546047,706691,606334,637336,790579,735446,725369,511436
Baychester,Bronx,neighborhood,0,306884,0,0,0,0,0,0,0,500000,0,0,0,0,0
Bayside,Queens,neighborhood,471208,529000,459700,486281,577407,553088,583610,638350,630562,654625,687646,750042,794874,642750,521000
Bedford Park,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,375180,0,0,0,0,0
Bedford-Stuyvesant,Brooklyn,neighborhood,369088,384493,432833,492518,630168,805113,902613,939594,951802,919262,935873,1033638,1038627,1168829,1193351
Bellerose,Queens,neighborhood,410010,371125,412352,409472,456875,471955,517562,526234,596673,576368,580342,654292,728222,659748,621000
Belmont,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bensonhurst,Brooklyn,neighborhood,598855,645148,696042,718178,824450,866125,952250,1041750,940180,1033125,1051944,1124417,1227000,1191479,1450000
Bergen Beach,Brooklyn,neighborhood,526037,470833,0,520188,554167,627400,606583,586200,631062,695806,742750,766051,775714,830375,0
Boerum Hill,Brooklyn,neighborhood,718000,887000,1477500,980763,1060878,1236870,1165834,1751417,1676892,1645000,1465000,1592473,1652906,2070000,0
Borough Park,Brooklyn,neighborhood,564971,555982,676039,699170,732171,807781,961042,961075,1005189,1122729,1001922,1053323,1121662,1313873,1387500
Briarwood,Queens,neighborhood,218062,229894,236510,195434,194083,195204,209212,243990,341614,357550,321480,369806,320386,432125,357500
Brighton Beach,Brooklyn,neighborhood,398657,371759,350754,394491,409563,467468,416136,485120,448413,488570,433697,460266,513958,537528,600000
Bronx,Bronx,borough,321807,296866,308733,314175,328104,335368,360830,393341,426792,456583,496779,536333,562974,554975,585919
Bronxwood,Bronx,neighborhood,0,185000,0,447500,352500,448585,275955,290526,366234,320690,351250,545862,588750,0,0
Brooklyn,Brooklyn,borough,459447,470043,490251,509186,559188,642333,692102,758584,774167,781208,807958,916166,945477,923726,935000
Brooklyn Heights,Brooklyn,neighborhood,683975,687865,721706,732744,811767,952493,1166271,1241415,1075430,1069670,1229968,1398259,1367318,1168318,1683250
Brookville,Queens,neighborhood,357500,375000,464254,0,0,409000,488667,507900,498750,507083,633667,830250,685000,600000,0
Brownsville,Brooklyn,neighborhood,346246,306829,338560,313407,396823,399095,460050,483068,533255,577935,642000,688801,706936,716350,0
Bushwick,Brooklyn,neighborhood,399660,354892,418462,469790,590419,825250,861572,938083,907278,836990,815929,941615,1018252,960141,1028965
Cambria Heights,Queens,neighborhood,354625,313162,338536,337158,349365,382444,377355,431100,453546,493463,530932,579727,633333,615898,0
Canarsie,Brooklyn,neighborhood,396515,373751,373254,364038,404088,424339,448065,519580,545122,570748,615632,672458,708083,712789,620000
Carroll Gardens,Brooklyn,neighborhood,807127,785794,974253,1125931,1447050,1539564,1710683,1496825,1605757,1612627,1720036,1639741,2150139,2082078,0
Castle Hill,Bronx,neighborhood,420500,330875,321500,0,389474,394875,429167,462040,519700,531240,635000,696333,645000,0,0
Central Harlem,Manhattan,neighborhood,461209,510906,569468,511494,617972,700490,718716,773688,752729,778125,799609,838508,790186,681655,726250
Central Park South,Manhattan,neighborhood,2594416,845000,1225000,1727928,1771328,1170000,1377500,0,995000,1687500,0,1791250,1593250,0,0
Central Queens,Queens,submarket,353416,347141,359039,352773,385170,442818,452232,507848,563465,579434,592087,615941,606516,558186,514500
