areaName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bath Beach,482371,541062,605555,557719,640574,718416,804378,839665,800933,810409
Bay Ridge,438767,407221,453948,388579,440513,431910,510542,546047,706691,606334
Bedford-Stuyvesant,369088,384493,432833,492518,630168,805113,902613,939594,951802,919262
Bensonhurst,598855,645148,696042,718178,824450,866125,952250,1041750,940180,1033125
Boerum Hill,718000,887000,1477500,980763,1060878,1236870,1165834,1751417,1676892,1645000
Borough Park,564971,555982,676039,699170,732171,807781,961042,961075,1005189,1122729
Brighton Beach,398657,371759,350754,394491,409563,467468,416136,485120,448413,488570
Brooklyn Heights,683975,687865,721706,732744,811767,952493,1166271,1241415,1075430,1069670
Brownsville,346246,306829,338560,313407,396823,399095,460050,483068,533255,577935
Bushwick,399660,354892,418462,469790,590419,825250,861572,938083,907278,836990
Canarsie,396515,373751,373254,364038,404088,424339,448065,519580,545122,570748
Carroll Gardens,807127,785794,974253,1125931,1447050,1539564,1710683,1496825,1605757,1612627
Clinton Hill,411409,490055,434743,515436,595476,700147,771620,779655,969631,922445
Cobble Hill,962025,1086725,913232,627661,1345000,1390796,1484042,1491667,1745853,2332298
Coney Island,295167,275917,285000,311200,279205,326075,376438,406964,414056,409688
Crown Heights,433338,400494,436498,437371,510581,686498,818599,872141,908208,823167
Ditmas Park,496798,581875,477512,426932,592233,702650,624333,846867,614500,1033393
Downtown Brooklyn,462074,490550,577340,584093,614464,814430,816708,737615,823384,845560
Dyker Heights,656664,634514,662175,729375,773515,901350,943290,992550,1060636,1006545
East Flatbush,353912,323461,323396,355135,372250,432300,446779,478930,526254,575298
East New York,285686,285958,279886,316919,341935,409837,438788,499720,552884,566076
Flatbush,320325,279676,325613,323668,412461,540250,543656,562210,630538,611597
Flatlands,391013,349411,333320,377165,411622,444333,430598,474198,535955,531804
Fort Greene,589038,535891,611523,840444,945850,1121251,774529,1130066,1325192,1203580
Gravesend,499711,538765,552240,578434,627944,757493,756230,806517,803142,808197
Greenpoint,544932,552972,594368,762893,909602,1182634,1463750,1178345,1295936,1475631
Kensington,332550,326740,362290,299139,379699,482154,548289,602979,673791,703469
Marine Park,473625,457775,473333,471423,508142,534816,606667,635500,670480,675025
Midwood,459200,482809,478921,495113,548051,574500,713490,770473,760818,854178
Park Slope,687507,748805,722831,818430,993661,1096414,1076637,1285965,1309296,1248771
Prospect Heights,546795,613120,609686,717810,865163,765134,900901,931229,1222361,1183605
Prospect Lefferts Gardens,163406,426867,406167,585293,486807,802571,1031889,1024777,1049612,1068500
Sheepshead Bay,370066,355305,375336,377983,383050,404649,478831,510154,510273,547531
Sunset Park,484309,564621,589194,536733,719583,771888,871042,912917,1006375,901938
Williamsburg,525933,543198,621732,716937,854741,903679,967466,1013664,1012291,1076518
Windsor Terrace,519893,503200,587288,521425,687150,712973,850812,1054053,954847,993700
