POSTCODE,2011,2012,2013,2014,2015,2016,2017,2018,2019
11201,187797.0,186581.0,168001.0,163628.0,173635.5,187935.0,217770.5,262145.5,311124.0
11203,399000.0,393000.0,387000.0,388000.0,411000.0,426000.0,458000.0,497000.0,557000.0
11204,655000.0,630000.0,643000.0,655000.0,708626.0,758000.0,863000.0,948000.0,1053000.0
11205,337500.0,279000.0,247000.0,232937.5,210000.0,222702.0,237910.5,262175.0,272771.0
11206,390000.0,373000.0,299000.0,286000.0,300000.0,348243.0,411388.5,468230.0,496938.0
11207,440000.0,402000.0,391000.0,386000.0,392000.0,422000.0,482500.0,501500.0,560000.0
11208,459000.0,415000.0,400000.0,392000.0,401000.0,423000.0,473000.0,517000.0,580000.0
11209,702000.0,702000.0,737000.0,751000.0,797000.0,845000.0,956000.0,1057000.0,1154000.0
11210,523000.0,521000.0,526500.0,533000.0,572000.0,601000.0,665000.0,738000.0,803000.0
11211,347500.0,231273.5,219967.5,444000.0,486000.0,553000.0,635500.0,728000.0,781000.0
11212,441000.0,375000.0,332000.0,336000.0,339000.0,340000.0,350000.0,390000.0,448000.0
11213,578000.0,513000.0,510000.0,516000.0,548000.0,616000.0,747000.0,873000.0,1014000.0
11214,592000.0,610000.0,623000.0,594000.0,623000.0,662000.0,778000.0,883000.0,974000.0
11215,956000.0,912000.0,975000.0,1002000.0,1091000.0,1154000.0,1385500.0,1582000.0,1754000.0
11216,587000.0,512000.0,520000.0,539000.0,592000.0,668000.0,828000.0,1019000.0,1114500.0
11217,1030000.0,965000.0,1012500.0,1015000.0,1107500.0,1059500.0,1236500.0,1395500.0,1436500.0
11218,689000.0,643000.0,647000.0,659000.0,714000.0,768000.0,884000.0,1004000.0,1107000.0
11219,696500.0,667000.0,688000.0,700000.0,748000.0,802000.0,912000.0,990000.0,1070000.0
11220,684000.0,652000.0,706000.0,715000.0,778000.0,823000.0,910000.0,1021000.0,1102000.0
11221,525000.0,483000.0,471000.0,476000.0,509000.0,575000.0,722000.0,902000.0,1017000.0
11222,651000.0,642000.0,653000.0,632000.0,658000.0,695000.0,879000.0,1069000.0,1248000.0
11223,611000.0,607000.0,632000.0,606000.0,646000.0,693000.0,805000.0,916000.0,999000.0
11224,317000.0,348000.0,361000.0,306000.0,307917.0,308000.0,405000.0,436000.0,487000.0
11225,603000.0,578000.0,587000.0,602000.0,651000.0,732000.0,834000.0,969000.0,1177000.0
11226,517000.0,481000.0,501000.0,515000.0,527000.0,560000.0,651500.0,744000.0,810000.0
11227,481320.0,519000.0,355000.0,340147.0,307500.0,469000.0,563000.0,704000.0,
11228,643000.0,660000.0,682000.0,696500.0,739000.0,795292.0,887000.0,989000.0,1074000.0
11229,502000.0,514000.0,526000.0,490000.0,510500.0,527000.0,632000.0,708000.0,769000.0
11230,722000.0,697000.0,713000.0,721000.0,759000.0,801000.0,923000.0,1012000.0,1139000.0
11231,876000.0,706000.0,739000.0,749000.0,789000.0,746000.0,777000.0,897611.0,1056000.0
11232,626000.0,572000.0,599000.0,593000.0,628500.0,698000.0,833000.0,955000.0,1027000.0
11233,521000.0,483000.0,470000.0,480000.0,518000.0,559000.0,633000.0,761000.0,875000.0
11234,459157.0,465000.0,469000.0,445000.0,461323.0,473000.0,531000.0,590000.0,633000.0
11235,515000.0,510000.0,526000.0,445000.0,451000.0,450000.0,554000.0,649000.0,706008.0
11236,464000.0,449000.0,443000.0,403000.0,410000.0,420000.0,505000.0,532000.0,580000.0
11237,485000.0,462000.0,459000.0,443000.0,446000.0,518000.0,628500.0,719000.0,803000.0
11238,612000.0,501500.0,545000.0,546000.0,593000.0,639500.0,712000.0,698000.0,771000.0
11239,305000.0,341000.0,343000.0,325500.0,362000.0,335000.0,367000.0,466000.0,525000.0
11242,520000.0,531000.0,550000.0,507000.0,507000.0,507000.0,538000.0,726000.0,769000.0
11416,471500.0,396000.0,394000.0,409000.0,486500.0,499000.0,561500.0,477500.0,577000.0
