POSTCODE,NUM_PROPERTIES2010/11,NUM_PROPERTIES2011/12,NUM_PROPERTIES2012/13,NUM_PROPERTIES2013/14,NUM_PROPERTIES2014/15,NUM_PROPERTIES2015/16,NUM_PROPERTIES2016/17,NUM_PROPERTIES2017/18,NUM_PROPERTIES2018/19
1239,,,,,,1.0,1.0,,
11139,,,,,,1.0,1.0,,
11201,6441.0,6540.0,7168.0,7277.0,7322.0,7480.0,7582.0,7950.0,7997.0
11203,10444.0,10435.0,10432.0,10431.0,10432.0,10428.0,10423.0,10467.0,10465.0
11204,10310.0,10440.0,10478.0,10479.0,10509.0,10515.0,10504.0,10566.0,10568.0
11205,4186.0,4302.0,4353.0,4418.0,4553.0,4642.0,4840.0,4889.0,4943.0
11206,5245.0,5389.0,5520.0,5555.0,5658.0,5715.0,5752.0,5837.0,5927.0
11207,10823.0,10930.0,10934.0,10928.0,10949.0,10955.0,10968.0,10998.0,11038.0
11208,10272.0,10067.0,10054.0,10185.0,10198.0,10197.0,10204.0,10207.0,10228.0
11209,8599.0,8706.0,8733.0,8725.0,8775.0,8784.0,8785.0,8798.0,8760.0
11210,8130.0,8144.0,8158.0,8148.0,8148.0,8146.0,8131.0,8145.0,8148.0
11211,10422.0,11392.0,11480.0,7070.0,7164.0,7209.0,7398.0,7507.0,7641.0
11212,5651.0,5625.0,5616.0,5621.0,5617.0,5613.0,5607.0,5616.0,5617.0
11213,4995.0,5029.0,4989.0,5048.0,5065.0,5049.0,5068.0,5092.0,5093.0
11214,9958.0,9996.0,9992.0,10043.0,10115.0,10189.0,10239.0,10272.0,10321.0
11215,10545.0,10779.0,10854.0,10897.0,10937.0,10981.0,11042.0,11145.0,11231.0
11216,5969.0,6001.0,6083.0,6109.0,6149.0,6181.0,6323.0,6351.0,6490.0
11217,4903.0,4944.0,5000.0,5181.0,5162.0,5170.0,5224.0,5276.0,5518.0
11218,7210.0,7304.0,7328.0,7333.0,7342.0,7355.0,7329.0,7377.0,7385.0
11219,9246.0,9293.0,9394.0,9446.0,9513.0,9584.0,9670.0,9784.0,9957.0
11220,8740.0,8865.0,8926.0,8961.0,8994.0,9001.0,8997.0,9028.0,9041.0
11221,8483.0,8503.0,8527.0,8542.0,8598.0,8613.0,8670.0,8757.0,8799.0
11222,4951.0,5198.0,5304.0,5320.0,5383.0,5404.0,5436.0,5541.0,5683.0
11223,9921.0,10082.0,10110.0,10118.0,10145.0,10197.0,10181.0,10169.0,10224.0
11224,3233.0,3239.0,3241.0,3259.0,3286.0,3278.0,3271.0,3282.0,3287.0
11225,3892.0,3909.0,3999.0,4000.0,3999.0,4012.0,4023.0,4036.0,4093.0
11226,5123.0,5141.0,5149.0,5151.0,5194.0,5204.0,5236.0,5223.0,5324.0
11227,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,
11228,7964.0,7953.0,7957.0,7970.0,7982.0,7989.0,8000.0,7995.0,7997.0
11229,11861.0,11868.0,11892.0,11912.0,11978.0,11986.0,12002.0,12016.0,12231.0
11230,7890.0,7872.0,7940.0,8010.0,8047.0,8043.0,8083.0,8100.0,8186.0
11231,5179.0,5289.0,5333.0,5382.0,5445.0,5485.0,5532.0,5621.0,5643.0
11232,2487.0,2525.0,2530.0,2548.0,2572.0,2585.0,2608.0,2617.0,2616.0
11233,7657.0,7661.0,7655.0,7652.0,7647.0,7642.0,7655.0,7690.0,7736.0
11234,19030.0,19031.0,19028.0,19029.0,19041.0,19040.0,19040.0,19043.0,19050.0
11235,9723.0,9770.0,9837.0,9914.0,9936.0,10037.0,10220.0,10303.0,10481.0
11236,14585.0,14589.0,14589.0,14595.0,14597.0,14633.0,14645.0,14643.0,14647.0
11237,3791.0,3881.0,3874.0,3902.0,3911.0,3910.0,3948.0,3978.0,4016.0
11238,5820.0,6062.0,6126.0,6221.0,6275.0,6336.0,6512.0,6962.0,7023.0
11239,173.0,394.0,394.0,448.0,455.0,521.0,609.0,618.0,620.0
11242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11243,181.0,180.0,180.0,,,,,,
11249,,,,4564.0,4599.0,4544.0,4953.0,5119.0,5461.0
11251,,,,,,,3.0,3.0,3.0
11416,126.0,126.0,126.0,4.0,4.0,4.0,4.0,4.0,4.0
33803,1.0,1.0,1.0,1.0,1.0,1.0,,,
