,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bath Beach (11214;11228),512856.75,576645.25,527998.5,609872,686303,770770.5,805211.5,765283,773325
Bay Ridge (11209;11220),378281.5,424331.5,358049.5,408863,398825,475807.5,510162,669701,567717.5
Bedford-Stuyvesant (11205;11206;11216;11221;11233;11238),361956.75,409311.25,468072.4167,604852.8333,778741,874394.0833,909684,919677.5,884572.3333
Bensonhurst (11204;11214),616652.25,666891.25,688388.5,793476,833818.5,918410,1006841,904136.5,995686.5
Boerum Hill (11201),831463,1420153.5,925709,1004553,1177734,1101599.5,1678887,1592240,1547956
Borough Park (11219),525128,644244,666784.5,698168,772392,924018,923069,965777,1081238
Brighton Beach (11235),344111,321973.5,365185,380741,437609,385416,452845,414375,453047
Brooklyn Heights (11201),632328,664359.5,677690,755442,893357,1102036.5,1168885,990778,972626
Brownsville (11212;11233),290213.5,321277.5,295762.5,378431,380057,439956.5,462444.5,511845.5,555450.5
Bushwick (11206;11207;11221;11237),333864,396978,447695.75,567315.875,800792.75,835897.5,911139.125,877972.75,805860.5
Canarsie (11236),350366,349202,339743,380865,400750,424065,494458,518830,543378
Carroll Gardens (11231),757864,945291,1095178,1415684.5,1507131,1676045,1460644,1567287,1571820
Clinton Hill (11205;11238),460670.75,403304.75,482461.75,560872,664249,732639.75,737516.5,924286,872378.5
Cobble Hill (11201;11231),1044991.5,870077.75,584757.5,1301154.75,1345011.5,1434605.75,1437311.5,1684292,2263372.5
Coney Island (11224),258460,267029,291352,258433,304105.5,354124.5,383504,388594,382852
Crown Heights (11213;11216;11225;11233;11238),379467.3,414694,414460.7,486760.2,661647.8,792222,844490.6,879021.2,792027.4
Ditmas Park (11226),558748,453874,402602,566829,676109,596689,818294,584973,1002042
Downtown Brooklyn (11217),457368,543121,548263,576769,774114,774347.5,693620,777101,792790
Dyker Heights (11228),606149,633213,699516,742411,868804,909252,957796,1024806,968924
East Flatbush (11203),304121,303666,334915,351310,410505,424054,455602,502130,550250
East New York (11207;11208;11239),271553.3333,264355.6667,300614.5,325279.5,392377.3333,421005.6667,481509.5,532965.6667,545684
Flatbush (11203;11210;11225;11226),257261,302611.25,299962.375,387907.75,514649.5,516890.375,534590.75,602034.5,581804.5
Flatlands (11234),326089,309268,352559,387142,419253,404498,447018,507755,502578
Fort Greene (11238;11201;11205;11217),499019.125,572912.5,801235.875,905043,1078439,728390.125,1079865.5,1269785.75,1141093.25
Gravesend (11223),511624,524472,550069,598385,726740,724054,773286,769104,772367
Greenpoint (11222),527828,567537.5,736021,881258.5,1151793,1431064.5,1143284.5,1257819,1432501
Kensington (11218),302837.5,337983,273985,353434,455191,519775,573315,642947,671429
Marine Park (11229;11234),434026.5,448796.5,446306.5,482852,508842,579624,607314,641237,644638
Midwood (11210;11230),455481,450560,466037.75,517903.5,543190,680686.25,736296,725934,817768.5
Park Slope (11215;11217),718654.5,691750,786034,959623.5,1060386.5,1038698.75,1246293,1267617,1202892.5
Prospect Heights (11217;11238),582971.25,578344.5,684459.25,829976.5,727802.5,861293.75,889137.5,1177691,1133104
Prospect Lefferts Gardens (11225),403682,382411,560410,461312,776013,1003779,995915,1019605,1037377
Sheepshead Bay (11229;11235),329393.5,348435.25,350516.5,355589,376285.5,449478,479420.5,478111,513995.5
Sunset Park (11220;11232),542266,566113,512596.5,694493,745874.75,843834.5,884480,976629,870852.25
Williamsburg (11206;11211;11249),512179.5,591333,684946.75,822682.5,870594.25,932046,975476,970807.5,1031869
Windsor Terrace (11215;11218),477689.25,561163,494367,658827.5,683622,819797,1021546.5,920887.5,958186.5
