,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bath Beach (11214;11228),-76438,-29445,-94781,-4676,37416,75732,7165,-135067,-213591
Bay Ridge (11209;11220),-285779,-223052,-332921,-292487,-355590,-323458,-386953,-332309,-521666
Bedford-Stuyvesant (11205;11206;11216;11221;11233;11238),-110923.6667,-5750.333333,67184.66666666669,203511.75,351446.3333333333,400538.8333333333,348877.5,266734.5,161393.83333333337
Bensonhurst (11204;11214),21648,76042,85178,199950,200312,242250,221250,24680,19625
Boerum Hill (11201),699203,1290919,812762,897250,1063234.5,977899,1533646.5,1414746.5,1333876
Borough Park (11219),-140518,9039,11170,32171,59781,159042,49075,15189,52729
Brighton Beach (11235),-143241,-159246,-131509,-35437,16468,-33864,-68880,-200587,-217438
Brooklyn Heights (11201),500068,535125,564743,648139,778857.5,978336,1023644.5,813284.5,758546
Brownsville (11212;11233),-174171,-90440,-87593,-11177,-29405,10550,-8432,-42245,-83565
Bushwick (11206;11207;11221;11237),-105108,-11538,64790,192669,413500,395761.25,376985.875,259595.5,117755.5
Canarsie (11236),-90249,-75746,-78962,1088,14339,28065,14580,13122,-9252
Carroll Gardens (11231),-90206,268253,386931,698050,750564,964683,719825,708146,556627
Clinton Hill (11205;11238),15305,44493,119436,206007.25,298647,340519,304699.75,489543.5,400559.5
Cobble Hill (11201;11231),554826.5,466941.5,174160.5,888686,909478.25,1017074.5,994281.75,1165974.75,1648736
Coney Island (11224),-41083,-63000,-49800,-26795,18158,68438,1964,-21944,-77312
Crown Heights (11213;11216;11225;11233;11238),-179706,-81002,-89029,-26019,106098,175699,121341,44208,-167133
Ditmas Park (11226),64875,-3488,-74068,77233,175650,64333,195367,-129500,223393
Downtown Brooklyn (11217),-539450,-387660,-428407,-400536,-293070,-242792,-498885,-572116,-590940
Dyker Heights (11228),-8486,2175,47375,77015,162350,147998,105550,71636,-67455
East Flatbush (11203),-75539,-69604,-31865,-15750,21300,20779,20930,29254,18298
East New York (11207;11208;11239),-115375.3333,-106114,-61081,-25898.33333,24837,45454.666666666686,58886.666666666686,58050.666666666686,11076
Flatbush (11203;11210;11225;11226),-230824,-167637,-176707,-97039,0,-36094,-89915,-106462,-225153
Flatlands (11234),-109746,-131680,-91835,-33378,-16990,-42402,-56802,-54045,-101196
Fort Greene (11238;11201;11205;11217),-5933.25,128502.75,347318.75,456458.625,600217.125,247119.75,529020.75,670736.875,505731.25
Gravesend (11223),-72235,-54760,-53566,21944,111493,63230,1517,-112858,-190803
Greenpoint (11222),-98028,-47632,109893,277602,524634,768750,299345,226936,227631
Kensington (11218),-362260,-280710,-347861,-279301,-231846,-219711,-281021,-330209,-403531
Marine Park (11229;11234),-22803.5,-16167,-26077,40642,48904.5,106667,54000,21480,-25975
Midwood (11210;11230),-139691,-130079,-124637,-78949,-91000,12490,-23527,-114182,-116822
Park Slope (11215;11217),-244195,-215669,-175320,-14839,-2836,-30113,-25035,-179454,-346479
Prospect Heights (11217;11238),-207880,-123564,-60940,84663,-85116,51401,-43021,175611,79855
Prospect Lefferts Gardens (11225),-176133,-171833,-1707,-115193,151571,299889,190777,80612,-108500
Sheepshead Bay (11229;11235),-153195,-136664,-148017,-84450,-76101,-9669,-82846,-168227,-189973
Sunset Park (11220;11232),-90379,-22806,-115767,65583,68638,110542,41417,18375,-162562
Williamsburg (11206;11211;11249),174448,319595.25,457453.25,569373,599154,615049.3333333333,608685.1666666667,547430.6666666667,580087
Windsor Terrace (11215;11218),-319300,-190212,-289575,-143350,-189527,-110188,-80697,-338153,-436800
