areaName,Borough,areaType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bath Beach,Brooklyn,neighborhood,482371,541062,605555,557719,640574,718416,804378,839665,800933,810409,928333,857615,952950,978500,1120500
Bay Ridge,Brooklyn,neighborhood,438767,407221,453948,388579,440513,431910,510542,546047,706691,606334,637336,790579,735446,725369,511436
Bedford-Stuyvesant,Brooklyn,neighborhood,369088,384493,432833,492518,630168,805113,902613,939594,951802,919262,935873,1033638,1038627,1168829,1193351
Bensonhurst,Brooklyn,neighborhood,598855,645148,696042,718178,824450,866125,952250,1041750,940180,1033125,1051944,1124417,1227000,1191479,1450000
Bergen Beach,Brooklyn,neighborhood,526037,470833,0,520188,554167,627400,606583,586200,631062,695806,742750,766051,775714,830375,0
Boerum Hill,Brooklyn,neighborhood,718000,887000,1477500,980763,1060878,1236870,1165834,1751417,1676892,1645000,1465000,1592473,1652906,2070000,0
Borough Park,Brooklyn,neighborhood,564971,555982,676039,699170,732171,807781,961042,961075,1005189,1122729,1001922,1053323,1121662,1313873,1387500
Brighton Beach,Brooklyn,neighborhood,398657,371759,350754,394491,409563,467468,416136,485120,448413,488570,433697,460266,513958,537528,600000
Brooklyn,Brooklyn,borough,459447,470043,490251,509186,559188,642333,692102,758584,774167,781208,807958,916166,945477,923726,935000
Brooklyn Heights,Brooklyn,neighborhood,683975,687865,721706,732744,811767,952493,1166271,1241415,1075430,1069670,1229968,1398259,1367318,1168318,1683250
Brownsville,Brooklyn,neighborhood,346246,306829,338560,313407,396823,399095,460050,483068,533255,577935,642000,688801,706936,716350,0
Bushwick,Brooklyn,neighborhood,399660,354892,418462,469790,590419,825250,861572,938083,907278,836990,815929,941615,1018252,960141,1028965
Canarsie,Brooklyn,neighborhood,396515,373751,373254,364038,404088,424339,448065,519580,545122,570748,615632,672458,708083,712789,620000
Carroll Gardens,Brooklyn,neighborhood,807127,785794,974253,1125931,1447050,1539564,1710683,1496825,1605757,1612627,1720036,1639741,2150139,2082078,0
Clinton Hill,Brooklyn,neighborhood,411409,490055,434743,515436,595476,700147,771620,779655,969631,922445,826477,920461,1003507,1196702,1097000
Cobble Hill,Brooklyn,neighborhood,962025,1086725,913232,627661,1345000,1390796,1484042,1491667,1745853,2332298,1910250,1542439,2075860,1137500,0
Columbia St Waterfront District,Brooklyn,neighborhood,0,637742,0,0,1336406,727500,0,0,0,1136000,0,1430000,0,0,0
Coney Island,Brooklyn,neighborhood,295167,275917,285000,311200,279205,326075,376438,406964,414056,409688,447900,423700,442042,421458,435000
Crown Heights,Brooklyn,neighborhood,433338,400494,436498,437371,510581,686498,818599,872141,908208,823167,953679,918988,975579,950298,1081250
DUMBO,Brooklyn,neighborhood,675000,0,848099,961464,1461602,1541059,2014394,1784271,1954500,2078000,1257012,1499650,1885002,1736707,0
Ditmas Park,Brooklyn,neighborhood,496798,581875,477512,426932,592233,702650,624333,846867,614500,1033393,685762,1008000,1122688,1030959,0
Downtown Brooklyn,Brooklyn,neighborhood,462074,490550,577340,584093,614464,814430,816708,737615,823384,845560,910210,1124315,1219695,1165818,1148158
Dyker Heights,Brooklyn,neighborhood,656664,634514,662175,729375,773515,901350,943290,992550,1060636,1006545,947968,1104708,1225162,1251500,1127500
East Brooklyn,Brooklyn,submarket,350335,355105,386548,417197,503008,638112,683875,735280,772271,750216,801281,884996,890094,911872,926250
East Flatbush,Brooklyn,neighborhood,353912,323461,323396,355135,372250,432300,446779,478930,526254,575298,592677,633109,656186,657035,700000
East New York,Brooklyn,neighborhood,285686,285958,279886,316919,341935,409837,438788,499720,552884,566076,636621,664408,703451,712807,638798
Flatbush,Brooklyn,neighborhood,320325,279676,325613,323668,412461,540250,543656,562210,630538,611597,597904,637162,640786,642955,649794
Flatlands,Brooklyn,neighborhood,391013,349411,333320,377165,411622,444333,430598,474198,535955,531804,557015,623624,662476,678350,663500
Fort Greene,Brooklyn,neighborhood,589038,535891,611523,840444,945850,1121251,774529,1130066,1325192,1203580,1123150,1163381,1532917,1329375,0
Gerritsen Beach,Brooklyn,neighborhood,0,0,0,0,0,0,0,355000,547500,0,0,562500,560000,0,0
Gowanus,Brooklyn,neighborhood,566673,629838,682452,0,0,0,0,0,0,0,995893,952208,1045000,0,0
Gravesend,Brooklyn,neighborhood,499711,538765,552240,578434,627944,757493,756230,806517,803142,808197,828442,932792,948037,981917,996865
Greenpoint,Brooklyn,neighborhood,544932,552972,594368,762893,909602,1182634,1463750,1178345,1295936,1475631,1082596,1342498,1524741,1426032,1868750
Greenwood,Brooklyn,neighborhood,449956,0,506234,741875,419333,909000,927063,1087330,1151875,1055000,1081417,1115789,1171300,1662293,0
Kensington,Brooklyn,neighborhood,332550,326740,362290,299139,379699,482154,548289,602979,673791,703469,702219,679517,724229,680266,486720
Manhattan Beach,Brooklyn,neighborhood,0,0,0,0,1225000,0,0,0,0,0,0,0,0,870000,0
Marine Park,Brooklyn,neighborhood,473625,457775,473333,471423,508142,534816,606667,635500,670480,675025,677187,713638,779500,758150,807500
Midwood,Brooklyn,neighborhood,459200,482809,478921,495113,548051,574500,713490,770473,760818,854178,702553,905848,758996,895641,818500
Mill Basin,Brooklyn,neighborhood,710000,0,0,0,810000,660000,946250,950000,925000,0,0,930750,935000,0,0
North Brooklyn,Brooklyn,submarket,528213,543368,607643,727642,838447,961461,993743,1036079,1074201,1182188,1059748,1194845,1305847,1333076,1293000
Northwest Brooklyn,Brooklyn,submarket,555253,604518,671115,724655,857277,947439,1020345,1173212,1136632,1129710,1076219,1255383,1403501,1436288,1560000
Ocean Parkway,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Mill Basin,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park Slope,Brooklyn,neighborhood,687507,748805,722831,818430,993661,1096414,1076637,1285965,1309296,1248771,1251142,1399882,1545921,1516272,1030150
Prospect Heights,Brooklyn,neighborhood,546795,613120,609686,717810,865163,765134,900901,931229,1222361,1183605,1214150,1134958,1205068,1265900,0
Prospect Lefferts Gardens,Brooklyn,neighborhood,163406,426867,406167,585293,486807,802571,1031889,1024777,1049612,1068500,835670,1166161,930950,1095800,0
Prospect Park,Brooklyn,submarket,622548,647138,650680,709458,814721,912296,972115,1073483,1185878,1108022,1106691,1193458,1296865,1264364,1032500
Prospect Park South,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,676497,0,0,701296,680000,0,0
Red Hook,Brooklyn,neighborhood,177249,0,0,618500,0,0,0,0,0,0,1120075,0,0,0,0
Seagate,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheepshead Bay,Brooklyn,neighborhood,370066,355305,375336,377983,383050,404649,478831,510154,510273,547531,609743,679363,563996,567957,442500
South Brooklyn,Brooklyn,submarket,440822,439899,460277,464304,494608,534950,584190,627501,645568,667473,698337,780479,784737,785052,787500
Sunset Park,Brooklyn,neighborhood,484309,564621,589194,536733,719583,771888,871042,912917,1006375,901938,891006,912263,996390,995634,1056250
Williamsburg,Brooklyn,neighborhood,525933,543198,621732,716937,854741,903679,967466,1013664,1012291,1076518,1026121,1151286,1252639,1254290,1091000
Windsor Terrace,Brooklyn,neighborhood,519893,503200,587288,521425,687150,712973,850812,1054053,954847,993700,793333,949387,1047289,1087052,1042500
