areaName,Borough,areaType,2011 YoY Increase (%),2012 YoY Increase (%),2013 YoY Increase (%),2014 YoY Increase (%),2015 YoY Increase (%),2016 YoY Increase (%),2017 YoY Increase (%),2018 YoY Increase (%),2019 YoY Increase (%),2020 YoY Increase (%),2021 YoY Increase (%),2022 YoY Increase (%),2023 YoY Increase (%),2024 YoY Increase (%)
All Downtown,Manhattan,submarket,-5.88,3.92,5.43,15.45,15.95,8.96,0.61,-3.07,6.56,-12.3,12.78,2.09,-4.57,-4.24
All Midtown,Manhattan,submarket,-0.26,3.63,2.98,0.64,20.95,-1.12,5.4,-5.68,2.87,-7.42,-0.79,4.95,1.6,-10.53
All Upper East Side,Manhattan,submarket,-2.22,1.43,0.88,7.28,6.72,5.61,-0.02,2.59,-1.96,-6.91,5.0,7.21,1.64,-25.54
All Upper Manhattan,Manhattan,submarket,3.8,7.23,-3.14,10.17,11.15,9.02,6.06,2.08,2.04,-0.67,4.96,-0.18,-11.12,22.37
All Upper West Side,Manhattan,submarket,0.83,2.37,1.11,6.42,14.76,-3.33,16.96,-8.27,-2.04,17.82,-15.47,6.89,-6.32,-3.49
Astoria,Queens,neighborhood,3.23,4.47,4.07,14.49,6.93,6.94,10.35,5.08,15.94,-4.35,8.88,-2.52,-0.79,27.21
Auburndale,Queens,neighborhood,-2.34,0.35,4.91,14.32,0.06,10.96,10.87,3.17,-5.38,3.76,3.86,8.23,-1.69,-2.58
Bath Beach,Brooklyn,neighborhood,12.17,11.92,-7.9,14.86,12.15,11.97,4.39,-4.61,1.18,14.55,-7.62,11.12,2.68,14.51
Battery Park City,Manhattan,neighborhood,-33.27,-1.61,-9.96,28.61,43.26,1.07,-15.08,-10.35,19.62,-39.27,53.11,2.01,0.76,13.99
Bay Ridge,Brooklyn,neighborhood,-7.19,11.47,-14.4,13.37,-1.95,18.21,6.95,29.42,-14.2,5.11,24.04,-6.97,-1.37,-29.49
Baychester,Bronx,neighborhood,N/A,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A
Bayside,Queens,neighborhood,12.26,-13.1,5.78,18.74,-4.21,5.52,9.38,-1.22,3.82,5.04,9.07,5.98,-19.14,-18.94
Bedford Park,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A
Bedford-Stuyvesant,Brooklyn,neighborhood,4.17,12.57,13.79,27.95,27.76,12.11,4.1,1.3,-3.42,1.81,10.45,0.48,12.54,2.1
Bellerose,Queens,neighborhood,-9.48,11.11,-0.7,11.58,3.3,9.66,1.68,13.39,-3.4,0.69,12.74,11.3,-9.4,-5.87
Belmont,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bensonhurst,Brooklyn,neighborhood,7.73,7.89,3.18,14.8,5.05,9.94,9.4,-9.75,9.89,1.82,6.89,9.12,-2.89,21.7
Bergen Beach,Brooklyn,neighborhood,-10.49,-100.0,N/A,6.53,13.21,-3.32,-3.36,7.65,10.26,6.75,3.14,1.26,7.05,-100.0
Boerum Hill,Brooklyn,neighborhood,23.54,66.57,-33.62,8.17,16.59,-5.74,50.23,-4.26,-1.9,-10.94,8.7,3.79,25.23,-100.0
Borough Park,Brooklyn,neighborhood,-1.59,21.59,3.42,4.72,10.33,18.97,0.0,4.59,11.69,-10.76,5.13,6.49,17.14,5.6
Briarwood,Queens,neighborhood,5.43,2.88,-17.37,-0.69,0.58,7.18,16.62,40.01,4.66,-10.09,15.03,-13.36,34.88,-17.27
Brighton Beach,Brooklyn,neighborhood,-6.75,-5.65,12.47,3.82,14.14,-10.98,16.58,-7.57,8.96,-11.23,6.13,11.67,4.59,11.62
Bronx,Bronx,borough,-7.75,4.0,1.76,4.43,2.21,7.59,9.01,8.5,6.98,8.8,7.96,4.97,-1.42,5.58
Bronxwood,Bronx,neighborhood,N/A,-100.0,N/A,-21.23,27.26,-38.48,5.28,26.06,-12.44,9.53,55.41,7.86,-100.0,N/A
Brooklyn,Brooklyn,borough,2.31,4.3,3.86,9.82,14.87,7.75,9.61,2.05,0.91,3.42,13.39,3.2,-2.3,1.22
Brooklyn Heights,Brooklyn,neighborhood,0.57,4.92,1.53,10.78,17.34,22.44,6.44,-13.37,-0.54,14.99,13.68,-2.21,-14.55,44.07
Brookville,Queens,neighborhood,4.9,23.8,-100.0,N/A,N/A,19.48,3.94,-1.8,1.67,24.96,31.02,-17.49,-12.41,-100.0
Brownsville,Brooklyn,neighborhood,-11.38,10.34,-7.43,26.62,0.57,15.27,5.0,10.39,8.38,11.09,7.29,2.63,1.33,-100.0
Bushwick,Brooklyn,neighborhood,-11.2,17.91,12.27,25.68,39.77,4.4,8.88,-3.28,-7.75,-2.52,15.4,8.14,-5.71,7.17
Cambria Heights,Queens,neighborhood,-11.69,8.1,-0.41,3.62,9.47,-1.33,14.24,5.21,8.8,7.59,9.19,9.25,-2.75,-100.0
Canarsie,Brooklyn,neighborhood,-5.74,-0.13,-2.47,11.0,5.01,5.59,15.96,4.92,4.7,7.86,9.23,5.3,0.66,-13.02
Carroll Gardens,Brooklyn,neighborhood,-2.64,23.98,15.57,28.52,6.39,11.11,-12.5,7.28,0.43,6.66,-4.67,31.13,-3.17,-100.0
Castle Hill,Bronx,neighborhood,-21.31,-2.83,-100.0,N/A,1.39,8.68,7.66,12.48,2.22,19.53,9.66,-7.37,-100.0,N/A
Central Harlem,Manhattan,neighborhood,10.78,11.46,-10.18,20.82,13.35,2.6,7.65,-2.71,3.37,2.76,4.86,-5.76,-13.73,6.54
Central Park South,Manhattan,neighborhood,-67.43,44.97,41.06,2.51,-33.95,17.74,-100.0,N/A,69.6,-100.0,N/A,-11.05,-100.0,N/A
Central Queens,Queens,submarket,-1.78,3.43,-1.75,9.18,14.97,2.13,12.3,10.95,2.83,2.18,4.03,-1.53,-7.97,-7.83
Chelsea,Manhattan,neighborhood,-7.73,-5.97,11.1,1.73,4.16,-0.09,-5.28,9.5,-3.33,14.16,11.22,-0.66,0.22,36.37
