POSTCODE,2012 YoY AVTOT,2013 YoY AVTOT,2014 YoY AVTOT,2015 YoY AVTOT,2016 YoY AVTOT,2017 YoY AVTOT,2018 YoY AVTOT,2019 YoY AVTOT
11201,3.26,-4.0,2.31,4.99,8.62,12.91,16.71,14.64
11203,2.02,2.48,3.56,4.08,4.27,2.65,3.41,3.83
11204,1.72,1.88,5.5,4.06,4.77,3.37,2.67,4.68
11205,8.72,1.93,4.14,2.52,9.77,7.26,8.04,8.96
11206,0.24,2.44,-0.55,3.62,5.51,6.06,9.04,5.8
11207,0.97,5.87,9.21,5.31,3.06,4.66,10.53,2.84
11208,2.73,3.92,3.3,5.2,2.51,3.34,5.24,3.57
11209,1.88,2.35,3.3,5.12,5.57,2.69,2.5,4.12
11210,3.64,2.04,3.88,4.3,3.91,3.96,2.16,4.26
11211,-4.04,7.9,0.9,2.83,8.46,9.36,8.28,9.19
11212,3.81,1.51,4.38,3.51,4.35,2.3,3.41,4.77
11213,3.78,3.54,2.94,3.15,5.23,3.78,5.28,3.47
11214,2.9,2.51,2.43,4.55,4.73,2.94,3.86,3.04
11215,3.04,3.65,4.9,4.47,5.6,5.47,4.88,5.16
11216,2.81,4.12,4.07,5.28,5.05,3.31,6.19,5.8
11217,3.13,4.71,5.21,6.95,5.07,3.86,5.2,14.02
11218,1.69,3.48,4.42,2.66,5.75,4.03,3.98,3.88
11219,3.05,1.86,4.99,4.08,4.62,2.65,3.7,5.28
11220,2.94,4.04,4.15,3.78,4.23,4.12,3.83,4.75
11221,4.31,3.82,4.6,6.53,5.53,3.03,8.22,6.48
11222,6.71,0.15,5.48,8.81,5.98,7.27,8.72,13.15
11223,2.31,2.15,4.21,4.04,4.63,3.28,2.43,5.26
11224,2.94,10.44,4.66,5.76,1.57,5.14,8.53,5.4
11225,2.46,4.74,2.46,4.17,5.84,2.68,3.97,3.72
11226,2.21,2.93,4.41,4.48,4.16,3.36,3.34,6.18
11227,746.14,7.86,7.91,7.9,97.25,0.0,7.96,-100.0
11228,2.1,3.1,4.17,4.64,4.58,2.1,3.1,5.0
11229,3.5,2.42,1.85,2.94,4.16,4.31,3.75,4.17
11230,3.89,2.9,3.54,3.51,5.45,4.36,2.0,4.46
11231,3.69,6.18,1.99,3.4,6.8,4.45,6.33,6.07
11232,3.63,5.23,3.7,3.55,5.04,5.01,5.55,4.21
11233,4.25,2.78,4.07,3.52,6.94,3.02,4.27,5.3
11234,3.13,2.3,-0.51,2.45,4.07,4.14,3.75,3.64
11235,4.1,1.83,-1.65,3.6,2.88,5.06,5.46,4.36
11236,2.85,1.01,-4.41,1.58,1.74,4.67,4.66,4.1
11237,3.69,1.49,7.65,7.89,5.09,4.95,8.0,7.99
11238,4.97,8.46,5.85,5.11,7.3,9.05,7.14,12.02
11239,19.74,5.39,-4.24,4.02,0.1,-0.61,13.02,0.69
11242,5.99,0.93,0.0,5.83,6.0,6.0,0.93,0.0
11249,0,0,0,1.15,32.95,8.76,22.81,9.25
11416,3.3,0.67,2.06,3.39,6.0,5.54,2.47,1.25
